name	region	elevation	gps	area	population	density	zip	suj	ecv	tel
Brusník	Banskobystrický kraj	235	48.298889°N 19.402222°E	7,76	114	14,69	991 01 	515884	VK	+421-47	
Brusno	Banskobystrický kraj	410	48.791944°N 19.381667°E	43,51	2 137	49,12	976 62	508675	BB	+421-48	
Brutovce	Prešovský kraj	864	49.087222°N 20.776111°E	13,68	192	14,04	053 73	526410	LE	+421-53	
Bruty	Nitriansky kraj	155	47.923333°N 18.581389°E	20,53	606	29,52	943 55	503100	NZ	+421-36	
Brvnište	Trenčiansky kraj	360	49.214444°N 18.427222°E	6,94	1 197	172,48	018 12	512915	PB	+421-42	
Brzotín	Košický kraj	262	48.630278°N 20.497778°E	20,57	1 343	65,29	049 51	560022	RV	+421-58	
Buclovany	Prešovský kraj	238	49.154444°N 21.366111°E	4,1	211	51,46	086 43 	519103	BJ	+421-54	
Búč	Nitriansky kraj	117	47.806667°N 18.443056°E	31,5	1 160	36,83	946 35	501077	KN	+421-35	
Bučany	Trnavský kraj	153	48.418611°N 17.699167°E	16,58	2 288	138	919 28	506851	TT	+421-33	
Budča	Banskobystrický kraj	285	48.573889°N 19.070278°E	15,91	1 287	80,89	962 33	518204	ZV	+421-45	
Budikovany	Banskobystrický kraj	221	48.484722°N 20.091111°E	3,33	60	18,02	980 23 	514586	RS	+421-47	
Budimír	Košický kraj	219	48.797222°N 21.305000°E	6,99	1 103	157,8	044 43	521221	KS	+421-55	
Budiná	Banskobystrický kraj	629	48.456389°N 19.478333°E	17,3	257	14,86	985 12 	511277	LC	+421-47	
Budince	Košický kraj	104	48.544167°N 22.122222°E	1,96	220	112,24	076 77 	513857	MI	+421-56	
Budiš	Žilinský kraj	478	48.874167°N 18.753333°E	10,28	206	20,04	038 23 	512125	TR	+421-43	
Budkovce	Košický kraj	102	48.632500°N 21.929167°E	19,84	1 497	75,45	072 15	522376	MI	+421-56	
Budmerice	Bratislavský kraj	176	48.356389°N 17.407778°E	30,08	2 336	77,66	900 86	507849	PK	+421-33	
Buglovce	Prešovský kraj	455	48.985000°N 20.696667°E	3,03	273	90,1	053 04 	526428	LE	+421-53	
Buková	Trnavský kraj	310	48.542778°N 17.397222°E	24,29	663	27,3	919 10 	506869	TT	+421-33	
Bukovce	Prešovský kraj	235	49.265833°N 21.715000°E	11,06	531	48,01	090 22	527181	SP	+421-54	
Bukovec	Košický kraj	351	48.709444°N 21.150000°E	10,85	816	75,21	044 20 	521248	KS	+421-55	
Bukovec	Trenčiansky kraj	360	48.698889°N 17.497500°E	15,47	424	27,41	906 14 	504289	MY	+421-34	
Bukovina	Žilinský kraj	591	49.134444°N 19.471111°E	1,91	109	57,07	032 23 	510351	LM	+421-44	
Bulhary	Banskobystrický kraj	220	48.293333°N 19.848056°E	9,54	316	33,12	986 01 	558273	LC	+421-47	
Bunetice	Košický kraj	412	48.860278°N 21.394167°E	8,35	85	10,18	044 47 	521256	KS	+421-55	
Bunkovce	Košický kraj	106	48.723056°N 22.118889°E	7,79	368	47,24	072 44 	522384	SO	+421-56	
Bušince	Banskobystrický kraj	162	48.173056°N 19.500556°E	12,5	1 466	117,28	991 22	515892	VK	+421-47	
