Meno	Kraj	Nadm.vyska (m.n.m.)	GPS	Rozloha (km2)	Obyvatelstvo	Hustota obyv. (obyv./km2)	PSC	SUJ	ECV	TEL
Skalité	Žilinský kraj	524	49.497222°S 18.898333°V	33,16	5 247	158,23	023 14	509451	---	+421-41	
Skalka nad Váhom	Trenčiansky kraj	218	48.9276°S 18.0722°V	8,68	1 180	135,94	913 31	546682	TN	+421-32	
Skároš	Košický kraj	236	48.5884°S 21.3761°V	36,87	1 119	30,35	044 11 	521981	KS	+421-55	
Skerešovo	Banskobystrický kraj	220	48.5040°S 20.2006°V	12,91	248	19,21	982 62 	515523	RA	+421-47	
Sklabiná	Banskobystrický kraj	159	48.162603°S 19.353025°V	9,88	860	87,04	991 05	516376	VK	+421-47	
Sklabinský Podzámok	Žilinský kraj	508	49.052222°S 19.026667°V	27,15	192	7,07	038 03 	512591	MT	+421-43	
Sklabiňa	Žilinský kraj	484	49.045833°S 19.003889°V	11,07	638	57,63	038 03	512583	MT	+421-43	
Sklené	Žilinský kraj	670	48.783333°S 18.816667°V	40,5	749	18,49	038 47	512605	TR	+421-43	
Sklené Teplice	Banskobystrický kraj	364	48.5280°S 18.8630°V	10,91	429	39,32	966 03	517241	ZH	+421-45	
Skrabské	Prešovský kraj	159	49.0081°S 21.5778°V	11,03	788	71,44	094 33 	529150	VT	+421-57	
Skýcov	Nitriansky kraj	458	48.5052°S 18.4224°V	25,23	1 003	39,75	951 85	500721	ZM	+421-37	
Sládkovičovo	Trnavský kraj	121	48.205278°S 17.644167°V	29,09	5 365	184,43	925 21	504017	GA	+421-31	
Slančík	Košický kraj	300	48.6623°S 21.4891°V	3,3	215	65,15	044 17 	518115	KS	+421-55	
Slanec	Košický kraj	343	48.636111°S 21.478611°V	20,46	1 435	70,14	044 17	522007	KS	+421-55	
Slanská Huta	Košický kraj	495	48.5969°S 21.4671°V	14,16	234	16,53	044 17 	522015	KS	+421-55	
Slanské Nové Mesto	Košický kraj	221	48.631111°S 21.522778°V	30,25	500	16,53	044 18 	522023	KS	+421-55	
Slaská	Banskobystrický kraj	395	48.6572°S 18.8349°V	16	482	30,13	966 22 	517259	ZH	+421-45	
Slatina	Nitriansky kraj	145	48.1471°S 18.9036°V	9,51	344	36,17	935 84 	502740	LV	+421-36	
Slatina nad Bebravou	Trenčiansky kraj	275	48.8372°S 18.2644°V	11,53	437	37,9	956 53	505471	BN	+421-38	
Slatinka nad Bebravou	Trenčiansky kraj	280	48.8427°S 18.2419°V	9,54	195	20,44	956 53 	505480	BN	+421-38	
Slatinské Lazy	Banskobystrický kraj	460	48.49.29°S 19.29.17°V	7,21	490	67,96	962 25	518794	DT	+421-45	
Slatvina	Košický kraj	479	48.9622°S 20.8422°V	4,41	314	71,2	053 61 	543527	SN	+421-53	
Slavec	Košický kraj	232	48.5869°S 20.4673°V	17,52	473	27	049 11 	526266	RV	+421-58	
Slavkovce	Košický kraj	101	48.6037°S 21.9219°V	9,18	657	71,57	072 17 	523062	MI	+421-56	
Slavnica	Trenčiansky kraj	236	48.9990°S 18.1791°V	7,81	840	107,55	018 54	557421	IL	+421-42	
Slavoška	Košický kraj	500 - 700	48.7270°S 20.3379°V	4,38	132	30,14	049 34 	526274	RV	+421-58	
Slavošovce	Košický kraj	425	48.7123°S 20.2849°V	15,53	1 933	124,47	049 36	526282	RV	+421-58	
Slepčany	Nitriansky kraj	163	48.3103°S 18.3376°V	9,35	830	88,77	951 52	500755	ZM	+421-37	
Sliač	Banskobystrický kraj	305	48.608889°S 19.151944°V	39,83	5 025	126,16	962 31	518808	ZV	+421-45	
Sliepkovce	Košický kraj	99 - 107	48.6734°S 21.9460°V	6,46	745	115,33	072 37 	523071	MI	+421-56	
Slizké	Banskobystrický kraj	401	48.5185°S 20.0875°V	8,32	213	25,6	980 23 	515531	RS	+421-47	
Slivník	Košický kraj	172	48.6004°S 21.5561°V	11,31	778	68,79	076 12 	543748	TV	+421-56	
Slopná	Trenčiansky kraj	310	49.0503°S 18.4070°V	7,64	476	62,3	018 21 	557480	PB	+421-42	
Slovany	Žilinský kraj	470	48.972500°S 18.821667°V	14,3	443	30,98	038 43 	512613	MT	+421-43	
Slovenská Kajňa	Prešovský kraj	142	48.9652°S 21.6994°V	6,73	780	115,9	094 02	529168	VT	+421-57	
Slovenská Ľupča	Banskobystrický kraj	373	48.7655°S 19.2758°V	32,33	3 221	99,63	976 13	509001	BB	+421-48	
Slovenská Nová Ves	Trnavský kraj	136	48.291667°S 17.533333°V	8,31	490	58,97	919 42 	556564	TT	+421-33	
Slovenská Ves	Prešovský kraj	650	49.2265°S 20.4230°V	22,44	1 858	82,8	059 02	523810	KK	+421-52	
Slovenská Volová	Prešovský kraj	173	48.9816°S 21.8450°V	8,66	536	61,89	067 22 	520772	HE	+421-57	
Slovenské Ďarmoty	Banskobystrický kraj	142	48.0916°S 19.2897°V	10,04	565	56,27	991 07	516384	VK	+421-47	
Slovenské Kľačany	Banskobystrický kraj	200	48.2648°S 19.4495°V	9,14	163	17,83	991 02 	516392	VK	+421-47	
Slovenské Krivé	Prešovský kraj	246	49.0715°S 22.0044°V	6,39	127	19,87	067 13 	520781	HE	+421-57	
Slovenské Nové Mesto	Košický kraj	102	48.400683°S 21.669425°V	13,38	1 085	81,09	076 33	543756	TV	+421-56	
Slovenské Pravno	Žilinský kraj	505	48.9089°S 18.7593°V	17,17	944	54,98	038 22	512621	TR	+421-43	
Slovenský Grob	Bratislavský kraj	145	48.255833°S 17.274722°V	10,17	2 459	241,79	900 26	508225	PK	+421-33	
Slovinky	Košický kraj	442	48.8787°S 20.8439°V	46,44	1 882	40,53	053 40	543535	SN	+421-53	
Sľažany	Nitriansky kraj	213	48.3968°S 18.3287°V	16,27	1 708	104,98	951 71	500747	ZM	+421-37	
Smilno	Prešovský kraj	425	49.3846°S 21.3494°V	13,8	717	51,96	086 33 	519782	BJ	+421-54	
Smižany	Košický kraj	485	48.958403°S 20.517653°V	45,7	8 636	188,97	053 11	560154	SN	+421-53	
Smolenice	Trnavský kraj	224	48.500000°S 17.433333°V	28,97	3 392	117,09	919 04	507555	TT	+421-33	
Smolinské	Trnavský kraj	190	48.6748°S 17.1301°V	15,69	948	60,42	908 42	504823	SE	+421-34	
Smolnícka Huta	Košický kraj	495	48.745278°S 20.773889°V	37,33	472	12,64	055 65	543551	GL	+421-53	
Smolník	Košický kraj	561	48.730278°S 20.740000°V	68,97	1 084	15,72	055 66	543560	GL	+421-53	
Smrdáky	Trnavský kraj	241	48.7231°S 17.3006°V	4,73	697	147,36	906 03	504831	SE	+421-34	
Smrečany	Žilinský kraj	718	49.1194°S 19.6518°V	8,05	617	76,65	032 05	511013	LM	+421-44	
Snakov	Prešovský kraj	450	49.3291°S 21.0466°V	12,14	673	55,44	086 06 	519791	BJ	+421-54	
Snežnica	Žilinský kraj	404	49.2576°S 18.7923°V	5,51	1 000	181,49	023 32	509469	KM	+421-41	
Snina	Prešovský kraj	216	48.988056°S 22.156667°V	58,61	20 496	349,7	069 01	520802	SV	+421-57	
Socovce	Žilinský kraj	444	48.9500°S 18.8687°V	5,11	249	48,73	038 43 	512630	MT	+421-43	
Soblahov	Trenčiansky kraj	284	48.866667°S 18.083056°V	17,38	2 245	129,17	913 38	506508	TN	+421-32	
Soboš	Prešovský kraj	216	49.1463°S 21.5488°V	7,17	145	20,22	090 42 	527807	SK	+421-75	
Sobotište	Trnavský kraj	252	48.7408°S 17.4089°V	32,25	1 496	46,39	906 05	504840	SE	+421-34	
Sobrance	Košický kraj	122	48.745278°S 22.181111°V	10,68	5 957	557,77	073 01	523089	SO	+421-56	
Sokolce	Nitriansky kraj	110	47.8529°S 17.8286°V	19,42	1 221	62,87	946 17	501344	KN	+421-35	
Sokolovce	Trnavský kraj	160	48.536111°S 17.845000°V	6,57	1 291	196,5	922 31	507563	PN	+421-33	
Sokoľ	Košický kraj	250	48.808333°S 21.223611°V	15,66	1 090	69,6	044 31 	522031	KS	+421-55	
Sokoľany	Košický kraj	213	48.6089°S 21.2285°V	10,57	1 299	122,89	044 57 	559865	KS	+421-6930	
Solčany	Nitriansky kraj	175	48.5382°S 18.2029°V	20,02	2 483	124,03	956 17	505498	TO	+421-38	
Solčianky	Nitriansky kraj	194	48.621242°S 18.198131°V	2,66	274	103,01	956 38 	556327	TO	+421-38	
Sološnica	Bratislavský kraj	219	48.4654°S 17.2306°V	37,77	1 555	41,17	906 37	504858	MA	+421-34	
Soľ	Prešovský kraj	140	48.9267°S 21.5973°V	10,29	2 491	242,08	094 35	529176	VT	+421-57	
Soľnička	Košický kraj	105	48.4761°S 21.9587°V	6,16	230	37,34	076 53 	543764	TV	+421-56	
Soľník	Prešovský kraj	288	49.2152°S 21.7449°V	4,39	35	7,97	090 31 	527815	SP	+421-54	
Somotor	Košický kraj	98	48.399444°S 21.808611°V	16,3	1 529	93,8	076 35	543772	TV	+421-56	
Sopkovce	Prešovský kraj	256	49.0150°S 21.8678°V	7,24	110	15,19	067 22 	559636	HE	+421-57	
Spišská Belá	Prešovský kraj	625	49.185833°S 20.456667°V	33,94	6 503	191,6	059 01	523828	KK	+421-52	
Spišská Nová Ves	Košický kraj	430	48.944167°S 20.560833°V	66,67	37 795	566,9	052 01	526355	SN	+421-53	
Spišská Stará Ves	Prešovský kraj	505	49.383611°S 20.362778°V	17,53	2 290	130,63	061 01	523836	KK	+421-52	
Spišská Teplica	Prešovský kraj	704	49.0482°S 20.2519°V	31,12	2 224	71,47	059 34	523844	PP	+421-52	
Spišské Bystré	Prešovský kraj	673	48.992417°S 20.242797°V	37,95	2 462	64,87	059 18	523852	PP	+421-52	
Spišské Hanušovce	Prešovský kraj	620	49.334722°S 20.344444°V	14,3	756	52,87	059 04	523861	KK	+421-52	
Spišské Podhradie	Prešovský kraj	430	48.998889°S 20.753056°V	24,94	4 086	163,83	053 04	543578	LE	+421-53	
Spišské Tomášovce	Košický kraj	532	48.9622°S 20.4723°V	13,62	1 854	136,12	052 01 	543586	SN	+421-53	
Spišské Vlachy	Košický kraj	389	48.949722°S 20.797222°V	42,21	3 595	85,17	053 61	543594	SN	+421-53	
Spišský Hrhov	Prešovský kraj	475	49.0025°S 20.6399°V	12,21	1 402	114,82	053 02	543608	LE	+421-53	
Spišský Hrušov	Košický kraj	424	48.9457°S 20.7070°V	13,07	1 240	94,87	053 63	543616	SN	+421-53	
Spišský Štiavnik	Prešovský kraj	563	48.995000°S 20.360000°V	18,22	2 709	148,68	059 14	523879	PP	+421-52	
Spišský Štvrtok	Prešovský kraj	560	49.0020°S 20.4679°V	14,24	2 460	172,75	053 14	543624	LE	+421-53	
Stakčín	Prešovský kraj	260	49.001318°S 22.230062°V	167,75	2 452	14,62	067 61	520829	SV	+421-57	
Stakčínska Roztoka	Prešovský kraj	360	48.999444°S 22.280833°V	15,15	333	21,98	067 61 	520811	SV	+421-57	
Stanča	Košický kraj	120	48.568333°S 21.650833°V	5,5	420	76,36	076 16 	513849	TV	+421-56	
Stankovany	Žilinský kraj	438	49.1456°S 19.1708°V	18,92	1 205	63,69	034 92	511030	RK	+421-44	
Stankovce	Košický kraj	140	48.765000°S 21.660000°V	4,41	161	36,51	076 61 	543781	TV	+421-56	
Stará Bašta	Banskobystrický kraj	269	48.1809°S 19.9460°V	8,37	319	38,11	980 34 	515540	RS	+421-47	
Stará Bystrica	Žilinský kraj	484	49.3470°S 18.9406°V	36,91	2 730	73,96	023 04	509477	CA	+421-41	
Stará Halič	Banskobystrický kraj	251	48.3668°S 19.5742°V	17,6	679	38,58	985 11 	511846	LC	+421-47	
Stará Huta	Banskobystrický kraj	728	48.4742°S 19.3442°V	24,58	328	13,34	962 25 	518816	DT	+421-45	
Stará Kremnička	Banskobystrický kraj	285	48.6018°S 18.8885°V	13,5	1 096	81,19	965 01 	517267	ZH	+421-45	
Stará Lehota	Trenčiansky kraj	326	48.651667°S 17.947222°V	16,17	228	14,1	916 35 	506516	NM	+421-33	
Stará Lesná	Prešovský kraj	780	49.1362°S 20.3065°V	9,48	1 000	105,49	059 53 	523887	KK	+421-52	
Stará Ľubovňa	Prešovský kraj	545	49.301667°S 20.688611°V	30,79	16 359	531,31	064 01	526665	SL	+421-52	
Stará Myjava	Trenčiansky kraj	390	48.7920°S 17.5887°V	17,73	732	41,29	907 01 	504866	MY	+421-34	
Stará Turá	Trenčiansky kraj	279	48.776667°S 17.698889°V	50,94	9 207	180,74	916 01	506524	NM	+421-32	
Stará Voda	Košický kraj	550	48.8001°S 20.6758°V	3,28	217	66,16	053 34 	543632	GL	+421-53	
Staré	Košický kraj	156	48.8603°S 21.8752°V	18,02	793	44,01	072 23	523097	MI	+421-56	
Staré Hory	Banskobystrický kraj	480	48.839047°S 19.114853°V	41,56	542	13,04	976 02	509019	BB	+421-48	
Starina	Prešovský kraj	466	49.325667°S 20.827756°V	9,09	41	4,51	065 46 	527009	SL	+421-52	
Starý Hrádok	Nitriansky kraj	148	48.1503°S 18.6364°V	6,57	180	27,4	935 56 	502758	LV	+421-36	
Starý Tekov	Nitriansky kraj	167	48.250000°S 18.533333°V	10,57	1 430	135,29	935 26	502766	LV	+421-36	
Staškov	Žilinský kraj	451	49.422259°S 18.695614°V	21,87	2 790	127,57	023 53	509485	CA	+421-41	
Staškovce	Prešovský kraj	271	49.2798°S 21.7548°V	8,45	257	30,41	090 23 	527823	SP	+421-54	
Stebnícka Huta	Prešovský kraj	505	49.400000°S 21.233333°V	9,43	237	25,13	086 33 	519804	BJ	+421-54	
Stebník	Prešovský kraj	380	49.3786°S 21.2687°V	20,53	303	14,76	086 33 	519812	BJ	+421-54	
Stožok	Banskobystrický kraj	406	48.530833°S 19.358056°V	8,95	1 001	111,84	962 12 	518824	DT	+421-45	
Stráne pod Tatrami	Prešovský kraj	693	49.1584°S 20.3671°V	4,22	2 255	534,36	059 76 	523909	KK	+421-52	
Stránska	Banskobystrický kraj	180	48.4035°S 20.2810°V	4,87	338	69,4	982 51 	515566	RS	+421-47	
Stránske	Žilinský kraj	487	49.1194°S 18.7053°V	18,75	785	41,87	013 13 	517968	ZA	+421-41	
Stráňany	Prešovský kraj	640	49.3678°S 20.5410°V	11,61	195	16,8	065 33 	527017	SL	+421-52	
Stráňavy	Žilinský kraj	420	49.170833°S 18.819167°V	10,87	1 860	171,11	013 25	517950	ZA	+421-41	
Stratená	Košický kraj	860	48.871111°S 20.355000°V	35,36	128	3,62	049 71 	526291	RV	+421-58	
Stráža	Žilinský kraj	402	49.224478°S 18.908897°V	3,17	673	212,3	013 04 	517976	ZA	+421-41	
Strážne	Košický kraj	99	48.3641°S 21.8659°V	16,71	630	37,7	076 52 	543799	TV	+421-56	
Strážske	Košický kraj	134	48.867222°S 21.824444°V	24,77	4 391	177,27	072 22	523101	MI	+421-56	
Strečno	Žilinský kraj	360	49.188056°S 18.867222°V	13,18	2 575	195,37	013 24	517984	ZA	+421-41	
Streda nad Bodrogom	Košický kraj	94	48.366667°S 21.750000°V	22,63	2 306	101,9	076 31	543802	TV	+421-56	
Stredné Plachtince	Banskobystrický kraj	225	48.2269°S 19.2922°V	20,88	619	29,65	991 24 	516406	VK	+421-47	
Strekov	Nitriansky kraj	131	47.901667°S 18.418889°V	41,05	1 996	48,62	941 37	503550	NZ	+421-35	
Strelníky	Banskobystrický kraj	666	48.7238°S 19.3930°V	17,47	783	44,82	976 55 	509027	BB	+421-48	
Stretava	Košický kraj	102	48.6446°S 22.0048°V	7,75	655	84,52	072 13 	523119	MI	+421-56	
Stretavka	Košický kraj	103	48.6209°S 21.9884°V	4,87	188	38,6	072 13 	523127	MI	+421-56	
Streženice	Trenčiansky kraj	230	49.1090°S 18.3076°V	7,98	930	116,54	020 01 	557471	PU	042 4675	
Strihovce	Prešovský kraj	435	48.900000°S 22.283333°V	13,22	157	11,88	067 73 	520845	SV	+421-57	
Stročín	Prešovský kraj	210	49.2654°S 21.5966°V	8,66	553	63,86	08901 	527831	SK	+421-54	
Stropkov	Prešovský kraj	202	49.205000°S 21.651389°V	24,67	10 837	439,28	091 01	527840	SP	+421-54	
Studená	Banskobystrický kraj	261	48.1614°S 19.9584°V	1,73	274	158,38	980 34 	515582	RS	+421-47	
Studenec	Prešovský kraj	460	49.0131°S 20.7699°V	8,3	480	57,83	053 04 	543641	LE	+421-53	
Studienka	Bratislavský kraj	203	48.533333°S 17.133333°V	16,79	1 618	96,37	908 75	504874	MA	+421-34	
Stuľany	Prešovský kraj	220	49.1432°S 21.4056°V	8,12	580	71,43	086 43 	519821	BJ	+421-54	
Stupava	Bratislavský kraj	182	48.271111°S 17.031667°V	67,5	9 944	147,32	900 31	508233	MA	+421-2	
Stupné	Trenčiansky kraj	330	49.193056°S 18.440278°V	7,52	715	95,08	018 12 	513687	PB	+421-42	
Sučany	Žilinský kraj	392	49.102778°S 18.993889°V	33,26	4 660	140,11	038 52	512648	MT	+421-43	
Sudince	Banskobystrický kraj	185	48.2141°S 18.8742°V	4,09	81	19,8	962 71 	518832	KA	+421-45	
Súdovce	Banskobystrický kraj	164	48.208889°S 18.836111°V	9,77	210	21,49	962 71 	518841	KA	+421-45	
Suchá Dolina	Prešovský kraj	442	48.9151°S 21.1448°V	6,12	193	31,54	082 43 	559989	PO	+421-51	
Suchá Hora	Žilinský kraj	790	49.365556°S 19.789444°V	21,85	1 396	63,89	027 13	510076	TS	+421-43	
Suchá nad Parnou	Trnavský kraj	176	48.409722°S 17.489722°V	14,38	1 996	138,8	919 01	507571	TT	+421-33	
Sucháň	Banskobystrický kraj	493	48.3131°S 19.2222°V	16,33	275	16,84	991 35 	516414	VK	+421-47	
Suché	Košický kraj	142	48.765833°S 21.838056°V	7,3	388	53,15	071 01 	523135	MI	+421-56	
Suché Brezovo	Banskobystrický kraj	404	48.3086°S 19.3587°V	11,48	106	9,23	991 03 	516422	VK	+421-47	
Suchohrad	Bratislavský kraj	147	48.404011°S 16.858689°V	15,41	641	41,6	900 64	508241	MA	+421-34	
Sukov	Prešovský kraj	290	49.2182°S 21.8744°V	8,19	129	15,75	067 02 	520853	ML	+421-57	
Sulín	Prešovský kraj	425	49.3635°S 20.7550°V	20,1	355	17,66	065 46 	527025	SL	+42052	
Súlovce	Nitriansky kraj	230	48.465000°S 18.169722°V	12,64	480	37,97	956 14 	505510	TO	+421-38	
Súľov-Hradná	Žilinský kraj	400	49.1650°S 18.5884°V	22,95	922	40,17	013 52	517992	BY	+421-41	
Sušany	Banskobystrický kraj	219	48.4119°S 19.8904°V	12,94	443	34,23	980 12 	515591	PT	+421-47	
Sútor	Banskobystrický kraj	205	48.3517°S 20.1220°V	13,26	548	41,33	980 01 	515604	RS	+421-47	
Svätá Mária	Košický kraj	99	48.4325°S 21.8441°V	12,94	572	44,2	076 35 	528153	TV	+421-56	
Svätoplukovo	Nitriansky kraj	140	48.228889°S 18.053889°V	13,9	1 341	96,47	951 13	555991	NR	+421-53	
Svätuš	Košický kraj	105	48.6836°S 22.1430°V	3,85	112	29,09	072 55 	523143	SO	+421-56	
Svätuše	Košický kraj	98	48.4292°S 21.9194°V	10,16	824	81,1	076 83	528650	TV	+421-56	
Svätý Anton	Banskobystrický kraj	449	48.423889°S 18.939444°V	22,63	1 221	53,95	969 72	516597	BS	+421-45	
Svätý Jur	Bratislavský kraj	180	48.251944°S 17.215556°V	39,87	5 442	136,49	900 21	507989	PK	+421-2	
Svätý Kríž	Žilinský kraj	629	49.052139°S 19.534706°V	9,41	804	85,44	032 11	511048	---	+421-44	
Svätý Peter	Nitriansky kraj	138	47.8466°S 18.2636°V	34,33	2 750	80,1	946 57	501115	KN	+421-35	
Svederník	Žilinský kraj	328 – 350	49.2630°S 18.6445°V	11,56	1 026	88,75	013 32 	518000	ZA	+421-41	
Sverepec	Trenčiansky kraj	310	49.083333°S 18.416667°V	6,23	1 210	194,22	017 01 	518913	PB	+421-42	
Svetlice	Prešovský kraj	336	49.1706°S 22.0405°V	31,64	117	3,7	067 16 	520861	ML	+421-57	
Svidnička	Prešovský kraj	317	49.3843°S 21.5691°V	5,72	142	24,83	090 02 	527858	SK	+421-54	
Svidník	Prešovský kraj	230	49.305556°S 21.567778°V	20,2	11 444	566,53	089 01	527106	SK	+421-54	
Svinia	Prešovský kraj	361	49.010087°S 21.124791°V	14,73	1 965	133,4	082 32	525171	PO	+421-51	
Svinica	Košický kraj	252	48.7317°S 21.4598°V	27,11	840	30,98	044 45 	522040	KS	+421-55	
Svinice	Košický kraj	100	48.4572°S 21.8814°V	5,26	232	44,11	076 37 	543811	TV	+421-56	
Svinná	Trenčiansky kraj	248	48.783333°S 18.150000°V	8,6	1 589	184,77	913 24	506532	TN	+421-32	
Svit	Prešovský kraj	763	49.065833°S 20.194722°V	4,5	7 679	1 706,44	059 21	523925	PP	+421-52	
Svodín	Nitriansky kraj	193	47.9109°S 18.4989°V	53,48	2 533	47,36	943 54	503568	NZ	+421-36	
Svrbice	Nitriansky kraj	284	48.516667°S 17.883333°V	6,94	199	28,67	956 06 	556238	TO	+421-38	
Svrčinovec	Žilinský kraj	440	49.481111°S 18.793889°V	15,74	3 583	227,64	023 12	509493	CA	+421-41	
Šahy	Nitriansky kraj	136	48.065278°S 18.951389°V	42,73	7 544	176,55	936 01	502782	LV	+421-36	
Šajdíkove Humence	Trnavský kraj	195	48.650000°S 17.266667°V	15,52	1 115	71,84	906 07	504882	SE	+421-34	
Šalgovce	Nitriansky kraj	255	48.5257°S 17.8976°V	8,99	503	55,95	956 06	505536	TO	+421-38	
Šalgočka	Trnavský kraj	151	48.333333°S 17.816667°V	4,75	453	95,37	925 54 	504033	GA	+421-31	
Šalov	Nitriansky kraj	157	48.0042°S 18.7073°V	19,04	383	20,12	935 71	502791	LV	+421-36	
Šaľa	Nitriansky kraj	107	48.152778°S 17.873889°V	44,97	23 098	513,63	927 XX (XX; 01-Šaľa, 05 Veča)	504025	SA	+421-31	
Šambron	Prešovský kraj	672 m	49.2256°S 20.7496°V	17,16	403	23,48	065 45 	527033	SL	+421-52	
Šamorín	Trnavský kraj	126	48.026667°S 17.311667°V	44,35	12 992	292,94	931 01	501905	DS	+421-31	
Šamudovce	Košický kraj	108	48.7073°S 21.8852°V	4,84	620	128,1	072 01 	523151	MI	+421-56	
Šandal	Prešovský kraj	260 m	49.1850°S 21.6229°V	10,89	322	29,57	091 01 	527866	SP	+421-54	
Šarbov	Prešovský kraj	440	49.4273°S 21.6304°V	8,44	12	1,42	090 05 	527874	SK	+421-54	
Šarišská Poruba	Prešovský kraj	344	49.0383°S 21.3876°V	5,99	572	95,49	082 12 	525189	PO	+421-51	
Šarišská Trstená	Prešovský kraj	400	49.0871°S 21.3850°V	1,85	324	175,14	082 14 	525197	PO	+421-51	
Šarišské Bohdanovce	Prešovský kraj	225 m	48.8480°S 21.3171°V	9,36	752	80,34	082 05	525201	PO	+421-51	
Šarišské Čierne	Prešovský kraj	394	49.345833°S 21.381944°V	14,02	305	21,75	086 37	519847	BJ	+421-54	
Šarišské Dravce	Prešovský kraj	467	49.175000°S 20.863056°V	9,93	1 253	126,18	082 73	525219	SB	+421-51	
Šarišské Jastrabie	Prešovský kraj	572	49.2416°S 20.9093°V	21,39	1 326	61,99	065 48	527041	SL	+421-52	
Šarišské Michaľany	Prešovský kraj	313	49.050000°S 21.133333°V	9,33	2 860	306,54	082 22	525235	SB	+421-51	
Šarišské Sokolovce	Prešovský kraj	415	49.105278°S 21.164167°V	12,27	552	44,99	082 66 	525243	SB	+421-51	
Šarišský Štiavnik	Prešovský kraj	229	49.2159°S 21.5688°V	5,27	289	54,84	090 42 	527882	SK	+421-54	
Šarkan	Nitriansky kraj	131	47.866667°S 18.566667°V	13,64	378	27,71	943 42 	503576	NZ	+421-36	
Šarovce	Nitriansky kraj	146	48.100000°S 18.650000°V	25,38	1 635	64,42	935 52	502804	LV	+421-36	
Šašová	Prešovský kraj	255	49.2567°S 21.4489°V	5,28	149	28,22	086 12 	519855	BJ	+421-54	
Šaštín-Stráže	Trnavský kraj	256	48.635000°S 17.140000°V	41,95	5 136	122,43	908 41	504891	SE	+421-34	
Šávoľ	Banskobystrický kraj	198	48.302222°S 19.820000°V	10,86	546	50,28	985 41	511854	LC	+421-47	
Šelpice	Trnavský kraj	164	48.433333°S 17.533333°V	10,17	858	84,37	919 09 	556670	TT	+421-33	
Šemetkovce	Prešovský kraj	356	49.3116°S 21.6630°V	7,08	90	12,71	090 03 	527891	SK	+421-54	
Šemša	Košický kraj	297	48.6748°S 21.1139°V	17,17	786	45,78	044 21	522066	KS	+421-55	
Šenkvice	Bratislavský kraj	165	48.283333°S 17.333333°V	24,81	4 592	185,09	900 81	508250	PK	+421-33	
Šiatorská Bukovinka	Banskobystrický kraj	cca 240 - 320	48.186111°S 19.822222°V	21,6	315	14,58	985 58 	511862	LC	+421-47	
Šiba	Prešovský kraj	400	49.2308°S 21.2204°V	13,82	583	42,19	086 22 	519863	BJ	+421-54	
Šíd	Banskobystrický kraj	216	48.2748°S 19.8801°V	15,24	1 264	82,94	986 01 	511871	LC	+421-47	
Šimonovce	Banskobystrický kraj	179	48.2720°S 20.1104°V	7,83	583	74,46	980 03	515621	RS	+421-47	
Šindliar	Prešovský kraj	493	49.0385°S 20.9423°V	11,32	546	48,23	082 36 	525251	PO	+421-51	
Šintava	Trnavský kraj	135	48.281667°S 17.753611°V	11,56	1 742	150,69	925 51	504041	GA	+421-31	
Šípkov	Trenčiansky kraj	270	48.8523°S 18.2956°V	11,56	139	12,02	956 53 	505544	BN	+421-38	
Šípkové	Trnavský kraj	216	48.653333°S 17.717222°V	8,3	315	37,95	922 03 	558397	PN	+421-33	
Širákov	Banskobystrický kraj	196	48.1491°S 19.1845°V	7,12	208	29,21	991 27 	516431	VK	+421-47	
Širkovce	Banskobystrický kraj	183	48.291667°S 20.084444°V	17,71	941	53,13	980 02 	515639	RS	+421-47	
Široké	Prešovský kraj	514	49.000000°S 20.933333°V	25,79	2 443	94,73	082 37	525260	PO	+421-51	
Šišov	Trenčiansky kraj	270	48.8523°S 18.2956°V	11,56	139	12,02	956 38	505544	BN	+421-38	
Šivetice	Banskobystrický kraj	330	48.578611°S 20.273889°V	8,26	381	46,13	049 14 	526304	RA	+421-58	
Šmigovec	Prešovský kraj	326	48.891389°S 22.317222°V	7,13	90	12,62	067 73 	520870	SV	+421-57	
Šoltýska	Banskobystrický kraj	743	48.5804°S 19.7445°V	4,39	125	28,47	985 07	511889	PT	+421-47	
Šoporňa	Trnavský kraj	122	48.253056°S 17.814444°V	31,39	4 169	132,81	925 52	504050	GA	+421-31	
Špačince	Trnavský kraj	158	48.440556°S 17.610833°V	22,1	2 537	114,8	919 51	507601	TT	+421-33	
Špania Dolina	Banskobystrický kraj	728	48.8075°S 19.1341°V	12,72	192	15,09	974 01 	509035	BB	+421-48	
Španie Pole	Banskobystrický kraj	360	48.5207°S 20.1267°V	9,19	83	9,03	980 23 	515647	RS	+421-47	
Šrobárová	Nitriansky kraj	127	47.8040°S 18.3251°V	8,39	506	60,31	946 32 	501352	KN	+421-35	
Štefanov	Trnavský kraj	187	48.6784°S 17.2004°V	22,09	1 677	75,92	906 45	504904	SE	+421-34	
Štefanov nad Oravou	Žilinský kraj	570	49.3573°S 19.5087°V	12,35	653	52,87	027 44 	510084	TS	+421-43	
Štefanová	Bratislavský kraj	192	48.383333°S 17.383333°V	6,72	341	50,74	900 86 	508268	PK	+421-33	
Štefanovce	Prešovský kraj	580	49.039444°S 20.974722°V	5,25	207	39,43	082 35 	525278	PO	+421-51	
Štefanovce	Prešovský kraj	215	48.9600°S 21.7740°V	8,93	116	12,99	094 01 	529184	VT	+421-57	
Štefanovičová	Nitriansky kraj	138	48.1856°S 18.0854°V	12,4	326	26,29	951 15 	581691	NR	+421-37	
